filename,emr_dissim,mse_rgb,max_p99,mse_red,mse_hsv_V,mse_hsv_H,Presence
B22-101\00180.png,0.30485648,177.73889,2601.0,244.03351,0.0018156511,0.0005239866,-1
B22-101\00201.png,0.45255685,196.21327,2209.0,291.39795,0.0017263781,0.0030425633,1
B22-101\00201_Aug1.png,0.44862968,177.72112,1849.0,262.6006,0.001532106,0.0018887427,1
B22-101\00201_Aug2.png,0.43941045,192.88501,2209.0,275.16638,0.0016906338,0.0034178635,1
B22-101\00201_Aug3.png,0.45048624,181.24608,2025.0,268.36578,0.0015479827,0.0015466111,1
B22-101\00201_Aug4.png,0.43132782,185.10075,2116.0,257.27805,0.0017329431,0.0033294782,1
B22-101\00201_Aug5.png,0.45087826,182.62982,1936.0,264.51935,0.0016093181,0.0016999932,1
B22-101\00201_Aug6.png,0.44069558,191.42574,2116.0,268.18848,0.001764655,0.0033721933,1
B22-101\00201_Aug7.png,0.44587678,162.5906,1681.0,226.26764,0.0015570181,0.0017798453,1
B22-101\00201_Aug8.png,0.440229,192.23975,2304.0,261.65787,0.0018484911,0.0035044637,1
B22-101\00280.png,0.58672285,209.41609,1849.0,287.33963,0.002178858,0.0009293829,-1
B22-101\00415.png,0.45998448,141.59026,1444.0,208.3994,0.0013258171,0.00042384808,-1
B22-102\01468.png,0.37316823,127.35873,1521.0,174.48668,0.001274933,0.0009880182,1
B22-102\01468_Aug1.png,0.3644097,116.52505,1296.0,163.79822,0.0011347479,0.0008607169,1
B22-102\01468_Aug2.png,0.3667001,126.19354,1521.0,174.89723,0.0012582305,0.00084707444,1
B22-102\01468_Aug3.png,0.3630038,119.9656,1296.0,172.42303,0.0011136697,0.00079485506,1
B22-102\01468_Aug4.png,0.3592841,112.64267,1225.0,157.9516,0.0011024576,0.0007637343,1
B22-102\01468_Aug5.png,0.36420995,113.68101,1296.0,161.7308,0.0011253951,0.0005376766,1
B22-102\01468_Aug6.png,0.3629722,117.51129,1296.0,166.73001,0.00116314,0.00052814884,1
B22-102\01468_Aug7.png,0.3671916,122.96897,1444.0,180.75708,0.0011321598,0.000539677,1
B22-102\01468_Aug8.png,0.37025738,126.57141,1444.0,182.40228,0.0012053056,0.0005286356,1
B22-102\03685.png,0.21898776,301.28113,6241.0,162.75479,0.005386472,0.011591038,1
B22-102\03685_Aug1.png,0.25188112,318.53503,5625.0,188.18831,0.0055423896,0.013425553,1
B22-102\03685_Aug2.png,0.18757153,268.40234,5776.0,134.80603,0.0049722916,0.010120054,1
B22-102\03685_Aug3.png,0.28246522,339.4765,5776.0,198.60287,0.005856626,0.015357694,1
